Messnummer	Linker Messwert	Rechter Messwert
0	701	658
1	730	659
2	790	736
3	880	891
4	737	647
5	732	663
6	839	867
7	867	736
8	930	883
9	898	898
10	921	889
11	900	714
12	766	896
13	882	763
14	902	896
15	728	792
16	930	894
17	843	793
18	769	910
19	931	776
20	810	906
21	775	789
22	932	907
23	845	781
24	735	864
25	891	839
26	928	816
27	743	862
28	719	786
29	932	919
30	923	796
31	773	902
32	751	761
33	905	896
34	930	799
35	800	889
36	727	798
37	865	901
38	933	826
39	843	884
40	781	815
41	822	898
42	934	785
43	827	906
44	754	803
45	821	907
46	929	776
47	857	903
48	785	800
49	822	910
50	929	774
51	893	901
52	756	805
53	771	887
54	923	810
55	925	915
56	744	784
57	739	905
58	925	810
59	925	889
60	759	780
61	743	864
62	910	829
63	935	895
64	759	812
65	774	887
66	931	843
67	898	864
68	724	826
69	792	851
70	943	839
71	846	871
72	723	848
73	841	868
74	945	863
75	805	827
76	752	829
77	919	846
78	927	869
79	753	872
80	804	802
81	928	891
82	859	834
83	753	885
84	870	781
85	935	906
86	788	816
87	781	904
88	928	790
89	875	925
90	758	800
91	878	905
92	929	755
93	751	926
94	792	812
95	934	885
96	819	764
97	789	911
98	897	796
99	918	902
100	758	806
101	768	890
102	745	859
103	760	742
104	845	890
105	882	884
106	922	789
107	934	858
108	929	896
109	928	788
110	906	850
111	855	883
112	797	776
113	765	882
114	743	877
115	760	774
116	727	878
117	781	869
118	887	773
119	904	864
120	929	891
121	939	781
122	920	820
123	875	907
124	812	780
125	791	838
126	736	905
127	715	792
128	756	813
129	832	908
130	885	763
131	928	831
132	948	917
133	928	781
134	880	786
135	805	915
136	741	834
137	726	797
138	728	884
139	827	895
140	892	764
141	927	878
142	943	883
143	910	784
144	837	873
145	761	865
146	785	808
147	732	896
148	828	814
149	919	783
150	933	872
151	913	884
152	849	800
153	805	872
154	736	882
155	756	770
156	869	895
157	930	876
158	929	770
159	878	859
160	823	901
161	728	801
162	762	857
163	854	877
164	933	796
165	928	904
166	876	766
167	813	839
168	726	902
169	778	797
170	895	874
171	933	890
172	918	746
173	816	880
174	800	890
175	721	798
176	823	892
177	935	863
178	932	790
179	847	896
180	753	848
181	790	820
182	775	877
183	900	859
184	945	799
185	906	899
186	763	835
187	746	779
188	795	912
189	884	833
190	930	787
191	935	921
192	809	812
193	731	803
194	729	910
195	854	794
196	922	798
197	930	908
198	887	823
199	768	810
200	727	908
201	793	793
202	919	832
203	928	910
204	902	776
205	813	825
206	738	909
207	799	814
208	927	819
209	936	908
210	795	815
211	737	806
212	799	922
213	923	830
214	928	806
215	848	911
216	780	812
217	738	820
218	840	910
219	947	795
220	910	856
221	757	905
222	721	809
223	822	864
224	917	908
225	933	827
226	847	786
227	732	853
228	750	895
229	879	781
230	928	832
231	918	904
232	812	783
233	757	804
234	802	902
235	917	827
236	934	803
237	836	901
238	749	790
239	772	794
240	935	922
241	924	789
242	798	806
243	728	911
244	802	813
245	921	818
246	932	902
247	747	796
248	720	834
249	763	904
250	903	782
251	928	822
252	889	906
253	751	791
254	785	834
255	891	902
256	934	785
257	827	869
258	768	880
259	751	797
260	922	879
261	939	863
262	813	764
263	733	904
264	839	809
265	934	802
266	907	912
267	755	773
268	781	857
269	878	907
270	929	788
271	881	875
272	775	908
273	755	796
274	884	874
275	946	913
276	846	765
277	737	893
278	778	867
279	930	789
280	920	905
281	804	853
282	788	827
283	864	906
284	931	813
285	889	858
286	734	908
287	768	798
288	910	868
289	947	925
290	782	788
291	738	881
292	861	915
293	932	786
294	898	865
295	759	897
296	787	825
297	873	907
298	933	853
299	855	767
300	768	894
301	751	901
302	905	769
303	943	898
304	827	902
305	718	796
306	827	923
307	928	802
308	899	836
309	758	866
310	789	824
311	890	904
312	932	793
313	819	835
314	742	903
315	793	776
316	926	807
317	934	920
318	771	771
319	713	838
320	879	911
321	934	781
322	844	886
323	726	849
324	815	816
325	932	882
326	897	837
327	755	802
328	740	898
329	912	821
330	929	791
331	847	904
332	738	829
333	808	811
334	943	925
335	873	806
336	744	807
337	764	909
338	943	832
339	917	829
340	738	908
341	779	805
342	901	875
343	927	901
344	807	758
345	786	896
346	844	880
347	934	797
348	902	919
349	740	851
350	769	847
351	912	905
352	930	777
353	850	906
354	747	862
355	815	821
356	923	910
357	925	861
358	770	783
359	784	912
360	831	792
361	937	805
362	865	923
363	721	797
364	800	833
365	931	895
366	880	800
367	734	866
368	773	877
369	947	818
370	905	869
371	747	856
372	775	782
373	920	904
374	929	780
375	790	780
376	751	923
377	871	800
378	932	822
379	842	909
380	776	784
381	795	850
382	924	867
383	931	796
384	757	900
385	766	838
386	917	809
387	928	910
388	790	796
389	742	843
390	895	839
391	929	777
392	819	906
393	757	821
394	854	853
395	932	905
396	889	789
397	780	922
398	804	864
399	932	788
400	885	919
401	749	829
402	788	823
403	933	891
404	913	793
405	730	893
406	763	824
407	935	793
408	906	908
409	732	783
410	758	838
411	939	915
412	907	750
413	739	891
414	805	835
415	932	797
416	895	906
417	761	811
418	806	853
419	934	911
420	868	778
421	735	895
422	820	852
423	928	839
424	832	906
425	772	809
426	866	910
427	928	821
428	774	809
429	778	902
430	927	772
431	888	873
432	771	876
433	812	805
434	933	907
435	825	807
436	745	834
437	910	893
438	917	758
439	799	895
440	792	834
441	934	803
442	877	925
443	757	778
444	878	900
445	929	837
446	791	830
447	738	910
448	923	795
449	909	899
450	746	882
451	852	744
452	931	866
453	812	920
454	734	788
455	921	854
456	919	923
457	757	776
458	834	905
459	934	856
460	843	832
461	745	908
462	872	789
463	943	883
464	753	865
465	776	761
466	934	907
467	880	784
468	735	874
469	862	811
470	942	849
471	794	909
472	729	773
473	928	903
474	908	820
475	732	842
476	805	901
477	943	798
478	834	906
479	736	856
480	892	807
481	936	884
482	754	782
483	764	906
484	943	819
485	881	841
486	733	852
487	874	797
488	928	908
489	742	761
490	824	879
491	947	901
492	806	774
493	733	905
494	927	796
495	880	880
496	719	876
497	862	786
498	941	925
499	796	790
500	769	848
501	933	875
502	856	804
503	752	905
504	893	788
505	941	867
506	785	866
507	745	762
508	931	909
509	884	796
510	715	857
511	860	900
512	946	783
513	787	886
514	739	889
515	915	795
516	906	898
517	761	841
518	808	798
519	948	921
520	828	781
521	722	881
522	875	883
523	928	778
524	756	910
525	741	797
526	941	875
527	886	866
528	749	761
529	839	915
530	930	808
531	766	822
532	765	892
533	942	806
534	868	905
535	724	773
536	858	795
537	932	906
538	760	786
539	771	831
540	945	925
541	832	804
542	730	886
543	915	869
544	902	808
545	759	906
546	843	765
547	943	911
548	770	871
549	770	796
550	943	917
551	818	790
552	749	756
553	927	888
554	878	919
555	721	777
556	894	876
557	927	906
558	752	778
559	814	906
560	928	845
561	797	803
562	784	909
563	929	815
564	847	894
565	744	828
566	913	772
567	907	903
568	770	814
569	850	883
570	931	811
571	775	823
572	782	908
573	931	676
574	853	876
575	767	913
576	903	785
577	916	837
578	765	923
579	830	808
580	935	888
581	772	866
582	785	834
583	932	906
584	861	808
585	749	877
586	880	896
587	928	778
588	769	909
589	795	832
590	935	845
591	831	891
592	766	814
593	914	898
594	913	807
595	753	812
596	821	896
597	932	791
598	778	909
599	781	788
600	925	896
601	876	821
602	728	836
603	880	900
604	927	763
605	729	892
606	831	909
607	930	762
608	815	905
609	756	852
610	932	806
611	904	905
612	731	776
613	889	890
614	928	830
615	729	792
616	797	905
617	944	820
618	800	868
619	738	829
620	943	815
621	864	908
622	737	789
623	870	901
624	928	832
625	745	844
626	778	897
627	946	799
628	810	910
629	728	801
630	915	830
631	904	896
632	730	777
633	821	904
634	941	799
635	758	843
636	762	889
637	931	783
638	850	898
639	755	827
640	907	820
641	923	919
642	741	774
643	870	904
644	931	791
645	800	872
646	786	893
647	929	784
648	859	927
649	755	786
650	921	893
651	887	777
652	750	833
653	868	878
654	931	777
655	763	923
656	802	813
657	933	874
658	791	887
659	780	818
660	933	908
661	838	779
662	794	906
663	906	876
664	900	785
665	745	917
666	854	800
667	931	820
668	747	891
669	807	827
670	936	889
671	813	808
672	748	811
673	932	876
674	868	792
675	745	908
676	913	827
677	920	907
678	747	794
679	819	911
680	930	832
681	772	836
682	738	861
683	938	805
684	867	907
685	722	772
686	906	893
687	914	842
688	749	807
689	838	907
690	941	821
691	776	902
692	784	828
693	939	877
694	792	889
695	785	786
696	927	908
697	863	810
698	755	836
699	903	882
700	927	817
701	758	896
702	852	816
703	930	818
704	786	901
705	797	786
706	935	905
707	797	811
708	792	856
709	934	891
710	821	788
711	796	923
712	923	784
713	887	899
714	761	874
715	877	808
716	909	902
717	727	805
718	883	911
719	930	790
720	756	836
721	811	871
722	934	788
723	784	910
724	725	762
725	947	916
726	854	832
727	732	845
728	895	911
729	920	766
730	744	910
731	831	800
732	941	874
733	741	866
734	791	773
735	942	919
736	817	760
737	753	901
738	926	778
739	882	880
740	724	880
741	923	810
742	899	921
743	750	778
744	900	908
745	900	838
746	803	832
747	921	892
748	869	799
749	754	921
750	926	767
751	862	867
752	728	811
753	936	838
754	799	903
755	751	791
756	943	923
757	794	806
758	734	891
759	926	867
760	844	813
761	728	909
762	929	804
763	879	895
764	734	842
765	925	790
766	883	903
767	760	792
768	918	877
769	879	840
770	762	842
771	916	912
772	882	804
773	733	893
774	914	884
775	889	796
776	738	894
777	933	886
778	864	810
779	738	909
780	927	815
781	856	886
782	741	870
783	929	781
784	803	924
785	776	786
786	928	882
787	831	841
788	760	800
789	930	890
790	819	752
791	772	907
792	930	823
793	826	812
794	737	919
795	928	818
796	854	892
797	741	858
798	940	838
799	872	909
800	747	813
801	921	870
802	902	898
803	729	794
804	902	912
805	912	823
806	740	810
807	925	891
808	834	799
809	758	903
810	929	788
811	837	818
812	772	893
813	929	796
814	777	905
815	778	823
816	929	857
817	761	897
818	843	796
819	939	963
820	753	779
821	860	891
822	933	877
823	755	788
824	840	901
825	927	780
826	781	919
827	816	791
828	923	831
829	749	883
830	898	770
831	885	904
832	746	818
833	935	851
834	865	908
835	738	776
836	943	921
837	848	784
838	743	900
839	932	839
840	848	849
841	748	876
842	934	779
843	802	919
844	774	788
845	934	818
846	745	897
847	837	812
848	932	894
849	734	816
850	869	863
851	918	890
852	734	794
853	909	906
854	885	813
855	756	889
856	914	875
857	863	807
858	753	899
859	930	767
860	826	889
861	785	844
862	932	794
863	798	900
864	793	793
865	936	897
866	762	808
867	781	848
868	1022	896
869	919	800
870	756	874
871	895	884
872	899	829
873	739	906
874	894	777
875	900	776
876	736	832
877	916	901
878	883	879
879	765	790
